1- O que é pentateuco?	1- it-3 p. 223 / Pentateuco: Esta forma aportuguesada da palavra grega (que significa “cinco rolos” ou “volume quíntuplo”) refere-se aos primeiros cinco livros da Bíblia: Gênesis, Êxodo, Levítico, Números e Deuteronômio.
143 - Quais foram a sequência das maldições que sobrevieram sobre o servo fiel Jó, sendo que a 1ª foi o saque de bois e jumentos pelos Sabeus e a 3ª o Saque de camelos pelos Caldeus. Diga na ordem quais são as 2ª, 4ª e 5ª Maldição nesta ordem?	143 – Jó 1:13-19 Jó 2:7 1º Saque de Bois e Jumentas pelos Sabeus, 2º Caiu fogo do céus, consumiu as ovelhas e os servos, 3º Saque dos Camelos pelos Caldeus. 4ºForte Vento Morte dos 10 filhos, 5º Furúnculos Dolorosos em Jó
144 - Qual foi a 1ª das 10 pragas de Jeová sobre do Egito.	144 - Êxodo 7:20 - Toda a água do rio Nilo se transformou em sangue. 
145 - Mencione os dois maiores mandamentos.	145- Mt 22:36-39 – 1º“‘Ame a Jeová, seu Deus, de todo o seu coração, de toda a sua alma e de toda a sua mente.’ 2º ‘Ame o seu próximo como a si mesmo.
146- Quem escreveu o livro de Jó?	146 – Moises 
147 - Segundo consta, os três consoladores de Jó foram sentam com ele por sete dias e sete noites. O que disseram neste tempo? (A)  O Elogiaram pela fé em Deus (B) Lamentaram pelas desgraças acontecidas (C) Cantaram cânticos (D) Ninguém lhe disse uma palavra (E) Acusaram-no de ter pecado contra Deus	147 - Jó 2:13 - Ninguém lhe disse uma palavra.
148 - Na cronologia bíblica, qual foi o último evangelho a ser escrito?	148 – w08 15/4 p. 30 - JOÃO 
149 - Quem expressou as seguintes palavras : "Eis o Cordeiro de Deus, que tira o pecado do mundo!"?	149 - João 1:29 – João Batista
150 - Segundo Cristo, Quem são os que 'passam da morte para a vida'? (A) Ungidos (B) Anjos (C) Apóstolos (D) Descrentes que se convertem (E) Ressucitados	150 - w08 15/4 p. 30 - Descrentes que se convertem - Jesus se refere àqueles que estão mortos espiritualmente, mas que, ao ouvirem suas palavras, depositam fé nele e abandonam seu proceder pecaminoso. 
151- Antes de nascerem João e Jesus, o anjo Gabriel anunciou antecipadamente. Para quem foram dados ambos anúncios separadamente? 	151 – Lucas 1:13 e Lucas 1: 30 - Zacarias e Maria
152 - Quando Maria foi informada de que teria um filho, sua parenta mais velha já estava grávida. De quantos meses? (A) 1 (B) 3 (C) 6 	152 -  Lucas 1:36 – 6 meses
153 - Segundo a Lei de Deus a Israel, todo menino israelita precisa ser circuncidado. Após o seu nascimento, em quanto tempo isso se faz necessário? (A) 7º mês (B) 8º mês (C) 7º dia (D) 7º mês (E) Após desmamá-lo.	153 – Levítico 12: 3 – 8º dia
154 - Segundo a Lei de Deus a Israel, a "noiva" de um homem que concorda em ter relações sexuais com outro homem, deve ser punida. Como? (A) Ela será desassociada (B) Ela perde seus privilégios na Sinagoga (C) Ela perde o noivo (D)Ela deve ser apedrejada até a morte (E) NDA	154- Deuteronômio 22:23, 24 - Apedrejada até a morte
155 - José tinha decidido em fazer algo em secreto com Maria (mãe de Jesus). Oque ele pensou em fazer? (A) Se Casar (B) Ter relações sexuais (C) Expulsá-la (D) Se Divorciar (E) NDA	155 – Mateus 1: 19 – Se divorciar
156 -  Hoje muitos acreditam que Jesus nasceu em 25 de dezembro. Mas, nesta época o clima é frio e chuvoso, dificilmente os pastores estariam a noite com seu rebanho no campo, conforme o relato bíblico. Tudo indica que Jesus nasceu em que mês? (A) Fevereiro (B) Nisã (C) Agosto (D) Outubro (E) Novembro.	156 – Livro Jesus O caminho pagina 18 – Outubro
157 - A Lei de Deus a Israel diz que após o nascimento de um menino, a mãe deve apresentar no templo uma oferta de purificação. Com quantos dias após o nascimento do menino se deve fazer esta oferta? (A) 7 dias (B) 8 dias (C) 10 dias (D) 40 dias (E) 66 dias.	157 – Levítico 12:4 – 40 dias
158 - Segundo a Lei de Deus dado a Israel, após o nascimento de uma criança (quando se completarem os dias de purificação), deverá levar ao sacerdote uma oferta. Primariamente, qual tipo de oferta se exige na lei? (A) Uma ovelha e 2 rolas (B) 5 andorinhas (C) Um carneirinho e um pombo (D) Um novilho e duas codornas (E) Um efa de farinha fina	158- Levítico 12: 6 – Um carneirinho e um pombo 
159 - Segundo a Lei de Deus dada a Israel, após o nascimento de uma criança (quando se completarem os dias de purificação), deverá levar ao sacerdote uma oferta definida conforme instruções. Mas, se a pessoa não tiver recursos financeiros, existe uma exceção mais barata, quais são? (A) Duas rolas ou dois pombos (B) Uma dúzia de ovos (C) 5 codornas (D) Um novilho (E) Uma ovelha.	159 – Levítico 12: 8 – Duas rolas ou dois pombos.
160- Quando uma israelita dava à luz um filho, eles eram considerados cerimonialmente impuros por um tempo. Assim que terminava esse período, uma oferta queimada era oferecida como sacrifício de purificação. Desse modo, todos eram lembrados de que o pecado e a imperfeição haviam sido transmitidos. Essa oferta de purificação foi feita na ocasião do nascimento de Jesus? (A) Sim (B) Não	160 – Livro Jesus O caminho pagina, pagina 21 / Quadro Lucas 2: 22 – SIM. O bebê Jesus era perfeito e Santo. Mesmo assim, Maria e José “o levaram” ao templo “para purificação deles”, conforme a Lei exigia. 
161 - José e Maria vão fazer a oferta de purificação e apresentar Jesus perante Jeová no templo. Nesta ocasião, eles encontram duas pessoas que agradecem a Deus pelo nascimento de Jesus. Esses acontecimentos dão a José e Maria a certeza de que seu filho é o Prometido por Deus. Uma dessas pessoas é Ana, a profetisa de 84 anos; E a outra pessoa, qual é o seu nome? (A) Zacarias (B) Simeão (C) Samuel (D) Abraão (E) Zeúde	161 – Lucas 2:25 – Simeão
162 - Qual o nome do avô paterno de Jesus? (A) João (B) Abraão (C) Isaque (D) Jacó (E) Moisés	162 – Mateus 1: 6 – Jacó
163 - Quantos dias após a sua ressurreição, Jesus sobe aos céus?	163 – TNM /15 Pagina 1826 – 40 dias
164- Em que local Jesus estava quando subiu aos céus?	164 – TNM/15 Página 1826 – Monte das Oliveiras
165 - Qual dos 4 evangelhos conta em detalhes o pré-nascimento e nascimento de Jesus?	165- TNM/15 Página 1812 -1813 Lucas
166 - Em que horas do dia Jesus morreu? (A) 13H (B) 14H (C) 17H (D) 18H (E) NDA 	166 – Marcos 15:34- 37 – NDA na verdade às 15Horas
167 - Quando os astrólogos saíram do oriente, foram guiados pela estrela até que cidade? 	167 – Mateus 2: 1, 2  - Jerusalém 
168 - Leia Jeremias 31:15 e responda. Em que ocasião essa profecia se cumpriu? (A) Queda de Babilônia (B) Matança de meninos em Belém (C) Destruição de Jerusalém em 70 EC 	168- Livro Jesus O caminho pagina 25 , 3º parágrafo. Matança de meninos em Belém e região
169 - Na ocasião em que o Rei Herodes descobre que os astrólogos não fizeram o que ele tinha pedido. Herodes dá uma ordem, mas o anjo orienta José a fugir. Para onde eles foram? (A) Babilônia (B) Roma (C) Egito (D) Israel (E) Jerusalém	169- Mateus 2:13 – Egito
170 - Quem foi Arquelau? (A) Um profeta de Jeová (B) Sacerdote de Baal (C) Um Rei (D) Um escravo egípcio (E) NDA	170 – Mateus 2:22 – Um Rei
171- Em que cidade na região da Galileia, Jesus foi criado? (A) Jerusalém (B) Belém (C) Nazaré (D) Cafarnaum (E) NDA	171 – Mateus 2: 23 – Nazaré
172 - Quem foi Salomé? (A) Meia irmã de Jesus (B) Uma Rainha nos tempos de Cristo (C) Esposa do Rei Herodes (D) Irmã de Maria (mãe de Jesus) (E) Apenas uma discípula de Cristo 	172 - Livro Jesus O caminho pagina 27 parágrafo 3 – irmã de Maria (mãe de Jesus).
173 - Qual a profissão de Jesus?	173 –Mateus 6:3 – Carpinteiro
174 - Quando Jesus tinha 12 anos, seus pais percebem a sua ausência e passam a procura-lo, encontrando-o mais tarde no templo. Quanto tempo eles o encontraram? (A) Algumas horas depois (B) Muitas horas mais tarde (C) No dia seguinte (D) Depois de 3 dias (E) Na semana seguinte	174 – Lucas 2:46 – 3 dias depois.
175 - Com quantos anos Jesus foi batizado por João Batista? (A) com 8 dias de vida (B) 29 anos (C) 30 anos (D) 33 anos (E) NDA	175 - Livro Jesus O caminho pagina 35 parágrafo 1 – 30 anos
176- John Wycliffe, William Tyndale, Henry Grew e George Storrs foram: (A) Membros do Corpo Governante (B) Irmãos executados na 2ª Guerra Mundial (C) Formandos da 135ª Turma de Gileade (D) Defensores das Verdades Bíblicas antes da Organização ser formada (E) NDA	176 - w12 15/1 p. 8 par. 17 Outros defensores das verdades bíblicas antes da organização ser formada.
177 - Nos tempos modernos, ele finalmente entendeu que haveria necessidade de uma campanha global de pregação a fim de alcançá-las. Mas ele não tinha a mínima ideia de como isso seria feito, mas demonstrando sua fé, escreveu: "Muitos, quando não conseguem entender exatamente como uma coisa será feita, a rejeitam, como se fosse impossível para Deus fazê-la porque não entendem como ele a fará." Quem foi ele? (A) Charles Russel (B) Henry Grew (C) George Storrs (D) Profeta Isaías (E) Stephen Lett	177- w00 15/10 p. 29 - Storrs finalmente entendeu que haveria necessidade de uma campanha global de pregação a fim de alcançá-las. 
178 - C. T. Russel era descendente de qual nacionalidade? (A) Americana (B) Inglesa (C) Irlandesa (D) Escocesa (E) Brasileira	178 – Vídeo: Fé em Ação (Da escuridão a Luz) 12’:07’’ – Irlandesa
179 - Antes da adolescência, C. T. Russel se tornou sócio de seu pai, em que segmento? (A) Lojas de Roupas (B) Gráfica (C) Hotéis (D) Fábrica de Canetas (E) NDA	179 - Vídeo: Fé em Ação (Da escuridão a Luz) 15’:21’’ _ Lojas de roupas
180 - C.T. Russel passou a ser o editor e a publicar a revista Watch Tower. Em que ano isso aconteceu? (A) 1870 (B) 1879 (C) 1880 (D) 1889 (E) 1914	180 - w00 15/10 p. 30 Charles Taze Russell, que deu início à publicação desta revista em 1879
181- Em 1912, Russell e seus associados iniciaram um ousado empreendimento educacional muito avançado para a época. De fato, alcançaria milhões de pessoas no mundo inteiro. Que empreendimento foi esse?	181 - *** jv cap. 5 pp. 59-60 Fotodrama da Criação — uma combinação de filme cinematográfico e slides, sincronizada com gravações musicais e discursos gravados em fonógrafos.
182 - Que anúncio histórico e marcante foi dado na manhã de sexta-feira, 2 de outubro de 1914? 	182 - kr p. 2 Carta do Corpo Governante “Os Tempos dos Gentios terminaram; seus reis já tiveram seus dias!” 
183 - Em que ano a Sociedade de Tratados da Torre de Vigia de Sião foi legalmente estatuída, com C. T. Russell como presidente? (A) 1870 (B) 1879 (C) 1880 (D) 1884 (E) 1889	183 - jv cap. 26 p. 576 - Em1884 
184 - Em que ano foi dado o anuncio de que se publicaria uma nova revista, The Golden Age (A Idade de Ouro, agora Despertai!)? (A) 1889 (B) 1895 (C) 1914 (D) 1918 (E) 1919	184 - jv cap. 26 p. 577 - 1919
185 - Em que ano se findou os "Tempos dos Gentios"?	185 - *** jv cap. 28 p. 637 - 1914 A. H. Macmillan, mais tarde escreveu: “Embora as nossas expectativas de sermos levados ao céu não se concretizassem em 1914, aquele ano deveras marcou o fim dos Tempos dos Gentios.
186 - Quem expressou as seguintes palavras: "Senhor, para quem havemos de ir? Tu tens declarações de vida eterna; e nós cremos e viemos a saber que tu és o Santo de Deus?"	186 – João 6: 68 – Simão Pedro, ou Pedro
187 - Em 1876 Russell entra numa relação de trabalho com N. H. Barbour. Seus grupos de estudos haviam se tornado associados. Russell fornecera recursos para reativar a impressão de uma revista, tendo a Barbour como editor e Russell como editor-assistente. Que revista foi essa? (A) Watch Tower (Torre de Vigia) (B) The Golden Age (A idade de Ouro)  (C) Herald of the Morning (Arauto da Aurora) (D) Do Paraíso Perdido ao Paraíso Recuperado 	187 - jv cap. 28 p. 619 a revista Herald of the Morning (Arauto da Aurora).
188 - Quais foram as 3 tentações de Cristo feito por Satanás?	188 – Mateus 4:1-10 (1) Transformar pedras em pães, (2) pular da muralha do templo, (3) fazer um ato de adoração ao Diabo.
189 - O 1º milagre de Jesus foi transformar água em vinho, em qual cidade ele estava quando realizou este milagre? (A) Jerusalém (B) Belém (C) Caná (D) Cafarnaum (E) Egito	189 – João 2:9-11 – Caná
190 - De acordo com o que foi registrado na Bíblia, quantos milagres aproximadamente Jesus Cristo fez? (A) 10 (B) 35 (C) 70 (D) 77 (E) 144	190- W15/07/2004 página 4 parágrafo 5 – 35 milagres
191 - Após ser batizado, Jesus passa algum tempo no deserto. Enquanto esteve por lá, não comeu nem bebeu nada. Por quanto tempo ele esteve em jejum?	191 - jy cap. 13 p. 36 par. 2 (Mateus 4:1, 2) 40 dias e 40 noites
192 - A Lei dada aos israelitas por meio de Moisés tinha qual propósito? (A) Proteção contra pecados (B) Conduzir a uma vida Organizada (C) Manter a fé em Jeová forte (D) Como tutor, conduzindo a Cristo (E) Proteger a descendência do Messias.	192 – Gálatas 3:23, 24 Tutor conduzindo a Cristo.
193 - Qual foi o homem que queria aprender mais sobre Jesus, porém o visitou à noite? (A) Nicolau (B) Zaqueu (C) José de Arimatéia (D) Nicodemos (E) General Céstio Galo 	193 – João 3: 1, 2 Nicodemos
194 - Diga o Livro, capítulo e versículo, a única passagem bíblica onde podemos encontrar escrito a palavra Armagedom?	194 – Apocalipse 16:16 
195 - O Diabo disse que estava disposto até mesmo a dar uma coisa a Jesus em troca de um ato de adoração. Que coisa era essa?	195 - *** jy cap. 13 p. 36 par. 6 todos os reinos do mundo
196-  Não se confunda ao responder. A mulher com quem Jesus falou junto ao poço, era natural de que cidade?	196 – João 4: 6, 7 – Samaria
197 - Jesus realizou dois milagres em Caná, um deles foi transformar água em vinho. Qual foi o outro?	197 – João 4: 46 -54 – Curou o filho de um funcionário do rei Herodes, à distância.
198- A Bíblia possui um total de 66 livros. Quantos livros compõe as escrituras hebraicas?	198 – 39 Livros
199 - Os massoretas dividiram as Escrituras Hebraicas em versículos; daí no século 13 EC acrescentaram-se as divisões em capítulos. Por fim, em qual ano a edição da Bíblia em Frances de Robert Estienne foi publicada como a 1ª Biblia completa com as atuais divisões de capítulos e versículos? (A) 1353 (B) 1553 (C) 1653 (D) 1753 (E) 1853	199 – Perspicaz vol.1 página 359 – 1553EC
200- Entre o fim das escrituras Hebraicas até o início das escrituras Gregas, houve um intervalo de tempo nas escritas. De quanto foi esse intervalo? (A) Quase 200 anos (B) Quase 400 anos (C) Quase 500 anos (D) Quase 700 anos (E) Quase 1.000 anos	200- Perspicaz vol.1 página 360 – Quase 500 anos
201 - Quem escreveu os livros de 1º e 2º Crônicas? (A) Moisés (B) Jó (C) Samuel (D) Esdras (E) Neemias	201 – Esdras
202 - Quem escreveu Atos dos Apóstolos?	202 – Lucas
203 -  Sabemos que alguns apóstolos trabalhavam como pescadores. Qual era a profissão do discípulo Lucas?	203 – Perspicaz vol.2 página 721 – Médico
204 - Nos tempos de Cristo, qual era a profissão de Levi?	204 – Mateus 10:3 e Marcos 2:14 – Cobrador de Impostos
205 - Quem sou? Sou primo de Barnabé. A casa da minha mãe era um local de adoração da primitiva congregação cristã. Fui inspirado a escrever um livro da Bíblia? Quem sou?	205 – Perspicaz vol.2 página 767 – Marcos
206 - Qual o país que se tornou a 1ª potência mundial?	206 – W 15/06/2012 página 9 parágrafo 7 – Egito
207 - Pense bem antes de responder. Que países compõem a potência anglo-americana?	207 – EUA e Grã-Bretanha. (OBS: Grã-Bretanha é uma das muitas ilhas Britânicas da Europa que abrange a maior parte do Reino Unido. Nesta ilha estão 3 das quatro nações britânicas: Escócia, Inglaterra e Pais de Gales).
208 - Complete o texto com a palavra correta: "Escutem a disciplina e tornem-se_________________."	208 – Provérbios 8:33 – sábios.
209 - Tiago 1:5 diz: "Se falta sabedoria em alguém que peça a Deus - pois ele dá a todos generosamente ... (a) sem negar (b) a quem pedir (c) sem censurar (d) sem medir esforços.	209 – Tiago 1:5 – sem censurar.
210 - Quem sou eu? Me tornei rei de Judá aos 25 anos. Fiz o que era direito aos olhos de Jeová. Triturei a serpente de cobre feita por Moisés. Derrotei filisteus. Quem sou eu?	210 – Rei Ezequias – 2ª Reis 18:1-4, 8.
211 - Que argumento usou Rabsaqué, o porta-voz de Senaqueribe, para tentar fazer com que Ezequias se rendesse?	211 – Nenhum deus conseguiu defender sua nação, será que Jeová conseguirá? – 2ª Reis 18:33-35.
212 - Responda completamente as seguintes perguntas: Ninrode o construtor da torre de babel era parente de qual servo fiel de Jeová? E qual o grau de parentesco ele era?	212 – Genesis 10: 6-8 – Ninrode era bisneto de Noé, servo fiel de Jeová
213 - Na ocasião da construção da torre de Babel, Jeová não se agradou desta construção. O que ele fez para impedi-la? 	213 – Genesis 11:6-8 – Confundiu o idioma deles, deste modo os espalhou ou fez com que falassem outros idiomas.
214 - Segundo "Meu Livro de Histórias Bíblicas", o que quer dizer a palavra Babel ou Babilônia?	214 – MLHB página 12 – Babilônia significa “confusão”.
215 - Após Jeová sentir o aroma do sacrifício de Noé que saíra da arca após o dilúvio. Jeová fez algumas promessas, dentre essas, podemos afirmar que ele...(A) Nunca mais destruirá todos homens (B) Nunca mais destruirá todos os seres vivos (C) Nunca mais destruirá toda a vegetação do solo (D) NDA	215 – Genesis 8:21 e 9:11 - Nunca mais destruiria todo os seres vivos.
216 - Um dos lugares onde as pessoas moravam após o dilúvio se chamava Ur. Qual é o personagem bíblico (que se tornou um patriarca famoso) na linhagem de Cristo que morou nesta cidade? 	216 – MLHB página 13 – Abraão
217 - Após morar em Ur, em qual cidade Tera e seus familiares foram morar?	217 – Genesis 11:31,32 - Harã
218 - Pense bem antes de responder. Quando Abraão tinha 99 anos, algo importante aconteceu em sua vida. O que foi?	218 – Genesis 17: 1-4 – “Recebeu a promessa” de que se tornará pai ou se tornará pai de nações.
219 - Após Abraão não negar seu único filho à Deus, Jeová poupou deste sacrifício fornecendo que um animal fosse sacrificado no lugar do menino. Que animal foi este? (A) Cordeiro (B) Carneiro (C) Cabritinho (D) Ovelha (E) Novilho	219 – Genesis 22:12,13 – Carneiro 
220 - Ao ver os dois anjos no portão da cidade de Sodoma, Ló ofereceu que eles se hospedassem em sua casa. Mas, eles recusaram dizendo que iriam passar a noite noutro lugar. Que lugar era esse? (A) A casa de Abraão (B)hospedaria da cidade (C) Nas tendas de Jericó (D) Na praça (E) NDA	220 – Gênesis 19:2 – Na praça 
221 - O sonho de todos os pais é que seus filhos encontrem cônjuges leais a Jeová. Não foi diferente no caso de Abraão. Qual o nome de filho e sua nora? 	221 – Genesis 24: 67 – Isaque e Rebeca
222 - Se você leu o apêndice da Bíblia, saberá responder essa pergunta. O que é o Códice de Leningrado?	222- TNM 2015 pagina 1790- é um manuscrito Massorético (cópia da bíblia ou fragmento bíblico).
223 - Com a finalidade de preservar os escritos sagrados, uma antiga tradição estabelecida por Deus, que exigia que o texto fosse copiado. A quem Jeová instruiu a fazer a sua própria cópia da Lei? 	223 – Deuteronômio 17:18 – Os reis de Israel
224 - Com a finalidade de que os escritos fossem preservados até a nossa época. A qual tribo Deus deu a responsabilidade de preservar a Lei e ensiná-la ao povo?	224 – Deuteronômio 31:26 e Neemias 8:7 – A tribo de Levi (Os levitas).
225 - Quem sou? Vivi em Babilônia durante o governo de Assuero, no tempo de Mordecai e Ester, na época em que saiu o decreto de exterminar os judeus em todo o Império Persa. Sou descendente de Eleazar e de Finéias, sou erudito, também copista destro além de instrutor da Lei, sou versado tanto no hebraico como no aramaico. Procurava preparar meu coração para consultar a Lei de Jeová e para praticá-la, e para ensinar seus decretos e decisões judiciais em Israel. Quem sou eu?	225 – Esdras 7:10 Perspicaz Vol.2 Pagina 13 – Esdras
226- Verdadeiro ou Falso? Um dos motivos de os manuscritos originais precisarem ser copiados era o fato de serem escritos em materiais perecíveis.	226 – TNM 2015 página 1794 – Verdadeiro: Um dos motivos de os manuscritos originais precisarem ser copiados era o fato de serem escritos em materiais perecíveis 
227 - Verdadeiro ou Falso? Embora os escritores inspirados se refiram a Deus usando muitos títulos e termos descritivos, como "Todo-Poderoso", "Altíssimo" e "Senhor", o Tetragrama é o único nome pessoal usado por eles para identificar a Deus.	227 – TNM 2015 AP A4 página 1795 -  Verdadeiro: Embora os escritores inspirados se refiram a Deus usando muitos títulos e termos descritivos, como “Todo-Poderoso”, “Altíssimo” e “Senhor”, o Tetragrama é o único nome pessoal usado por eles para identificar a Deus.
228 - Verdadeiro ou Falso? Só nos Salmos - um livro de escritos poéticos que eram cantados e recitados pelo povo de Deus -, o nome divino ocorre cerca de 1.500 vezes. 	228 – TNM 2015 AP 4 página 1795 – Falso: Só nos Salmos — um livro de escritos poéticos que eram cantados e recitados pelo povo de Deus —, o nome divino ocorre cerca de 700 vezes. 
229 - Verdadeiro ou Falso? Os discípulos de Jesus no primeiro século pronunciavam o nome dele de uma forma bem diferente do modo como a maioria dos cristãos o pronuncia hoje. Entre os cristãos judeus, o nome de Jesus era pronunciado Yesús. E o título Cristo era pronunciado Messiakhá, isto é, "Messias"	229 – TNM 2015 AP página 1795 – Falso:. Entre os cristãos judeus, o nome de Jesus provavelmente era pronunciado Yeshúa‛, e o título “Cristo” era pronunciado Mashíahh, isto é, “Messias”
230- Verdadeiro ou Falso? - De acordo com relatos bíblicos, houve um rei que reinou por apenas 1 mês.	230 - it-3 p. 510 Salum 2ª Reis 15:8, 10-15.- Verdadeiro 
231 - O que a idosa Ana do primeiro século, Hulda e Miriã irmã de Moises eram em comum? (A) Eram cristãs ungidas (B) Eram israelitas (C) Eram profetisas (D) Eram descendentes de Davi (E) NDA	231 - it-3 p. 339 Profetisas 
232 - Quem sou eu? Tenho nome de princesa, aliás fui elogiada por príncipes. Sou figura de um drama simbólico onde representei a "Jerusalém de Cima".  Já sofri desprezo, e por isso também humilhei.  Quem sou eu?	232 - it-3 p. 537 Genesis 12:15 – Sara
233 - Respondendo que é o Deus verdadeiro, complete o texto bíblico de Deuteronômio 4:39: "Saiba hoje e ponha no coração que Jeová é o verdadeiro Deus nos céus, em cima, e ........................ Não há outro."	233 -  ...na terra embaixo.
234- Quais são algumas das qualidades notáveis de Jeová?	234 – 1º João 4:8 Amor, Deuteronômio 32:4, Justiça Romanos 11:33, Sabedoria e Jeremias 32:17 Poder.
235 - Que termos ou títulos a Bíblia usa para nos ajudar a entender alguns aspectos da autoridade de Jeová?	235 - Isa. 33:22 “Jeová é o Juiz,  Legislador, Rei 
236 - O que significa dar a Jeová devoção exclusiva? São 4 pontos principais, cite-os:	236 - Mar. 12:30. “Amar a Jeová, de todo o seu coração (1), de toda a sua alma (2), de toda a sua mente (3) e de toda a sua força(4).” 
237 - Por que precisamos do resgate? 	237 - 2 Cor. 5:14, 15. O amor do Cristo nos impele, porque nós concluímos o seguinte: um só homem morreu por todos — de fato, todos tinham morrido. E ele morreu por todos para que os que vivem não vivessem mais para si mesmos, mas para aquele que morreu por eles e foi levantado.” Efé. 1:7. “Por intermédio dele temos o livramento por resgate, por meio do sangue dele, sim, o perdão das nossas falhas.” 
238 - O que é o espírito santo?	238 - Gên. 1:2 - A força ativa de Deus
239 - Quais são as características do fruto do espirito Santo?	239- Gál. 5:22, 23. “O amor, alegria, paz, paciência, bondade, benignidade, fé, brandura, autodomínio.” 
240 - Responda curto e objetivamente, o que é o Reino de Deus? Cite um texto bíblico que contenha essa palavra, "reino".	240- Dan. 2:44. Um Governo 
241 - Que bênçãos o Reino trará para a Terra e a humanidade? Mencione dois textos bíblicos que comprove as promessas destas bênçãos.	241 - Apo. 21:4. “Ele enxugará dos seus olhos toda lágrima, e não haverá mais morte, nem haverá mais tristeza, nem choro, nem dor. As coisas anteriores já passaram.”
242 - Como sabemos que estamos no tempo do fim e que o Reino de Deus já domina? 	242 - 2 Tim. 3:1-5 e Mat. 24:3 Sinais dos fins dos tempos.
243 - O que significa o nome Satanás? 	243 - it-3 p. 542 Satanás Opositor; Aquele Que Opõe
244 - Podemos pessoalmente provar que as acusações de Satanás contra os servos de Deus são falsas, por: (A) assistir regularmente as reuniões (B) pregar as boas novas a todos (C) nos dedicar e batizar à Jeová (D) sermos íntegros (E) sermos betelitas.	244 – Od página 178 - Jó 27:5 “Eu nunca os declararia justos! Até eu morrer não renunciarei à minha integridade!” — 
245 - O que acontecerá com Satanás e os demônios, durante o reinado milenar conforme o julgamento que Jeová decretou contra eles? 	245 - Apo. 20:1, 2. Preso no abismo por mil anos 
246 - O que é a alma humana? (A) Corpo físico (B) Folego de vida (C) Corpo espiritual (D) Energia que Jeová dá aos humanos (E) NDA 	246 -  Gên. 2:7 – Corpo físico
247 -Quantos humanos serão ressuscitados para a vida no céu? 	247 - Apo. 14:1, 3. 144 mil
248 - Verdadeiro ou Falso? A agressão física por um dos cônjuges  pode ser considerada uma das bases bíblicas para o divórcio e deixa o cônjuge inocente livre para se casar de novo.	248 - Falso - Mat. 19:9. “Eu lhes digo que quem se divorcia da sua esposa, a não ser por causa de imoralidade sexual, e se casa com outra, comete adultério.” 
249 - Sabemos que os cristãos devem se abster de sangue. Cite um texto bíblico que confirme essa ordem.	249 -Gên. 9:4. “Somente não comam a carne de um animal com seu sangue, que é a sua vida.” — Deut. 12:15, 16. “Sempre que você quiser, pode abater animais e comer carne . . . segundo a bênção que Jeová, seu Deus, lhe der. . . . Mas não comam o sangue. Você deve derramá-lo na terra como se fosse água.” — Atos 15:29. “Persistam em se abster de coisas sacrificadas a ídolos, de sangue, do que foi estrangulado e de imoralidade sexual.” 
250 - Por que os cristãos não estão sob a Lei mosaica e seus requisitos de oferecer sacrifícios e guardar o sábado?	250 -  Rom. 10:4. Porque Cristo é o fim da Lei. 
251 - Se um irmão cometer contra você um pecado sério, como fraude ou calúnia, o que você deve fazer imediatamente? (A) Leve o assunto perante dois anciãos (B) Informe que falará para os anciãos (C) Converse com ele perante duas testemunhas, mas antes faça uma oração. (D) Mostre-lhe seu erro, somente você e ele (E) Avise a congregação para que não faça novas vítimas.	251 - Mat. 18:15-17. “Se o seu irmão cometer um pecado, vá mostrar-lhe o seu erro, somente você e ele.
252 - Qual é o único evento que biblicamente os cristãos receberam a ordem de celebrar? (A) Aniversário de Casamento (B) Casamento (C) Batismo (D) Noivado (E) NDA	252 – NDA Luc. 22:19 
253 - Qual é o seu ponto de vista, ao se decidir se deve ou não participar em comemorações ou festas que são populares na sua comunidade? (A) Posso me divertir, desde que não tocar música impropria, ou me retiro do local imediatamente (B) Aproveito essas ocasiões para dar testemunho aos descrentes (C) Sou simpático, afinal, até mesmo Jesus andava com pecadores e cobradores de impostos (D) Não faço parte do mundo... (E) Comamos e bebamos, pois amanhã morreremos.	253 -João 17:16. “Eles não fazem parte do mundo, assim como eu não faço parte do mundo.” 1 Cor. 10:21. “Vocês . . . não podem participar da ‘mesa de Jeová’ e da mesa de demônios.”
254 - Na ordem estabelecida por Deus, quem é o cabeça da mulher casada?	254 – Hebreus 1:14.  Para os que vão herdar a salvação.
255 - O profeta Daniel observou numa visão o Antigo de Dias no Seu trono celestial, e viu também que "mil vezes mil [anjos] o serviam, e dez mil vezes dez mil estavam de pé diante dele". A Bíblia se refere a esse exército de anjos como "espíritos que prestam serviço sagrado; A quem eles servem? (A) A Jeová (B) Ao que está sentado no trono (C) Ao Cordeiro (D) Aos que vão herdar a salvação (E) Aos ungidos	255- Heb. 1:14 para servir os que vão herdar a salvação. 
256 - Ao receber a visão Isaías ficou impressionado e se sentiu pequeno quando entendeu a grandiosidade da organização de Jeová. Essa experiência teve um impacto tão grande nele. Quando saiu do céu uma convocação para um trabalho especial, qual foi a resposta dele?	256 -Isa. 6:1-5, 8. “Aqui estou! Envia-me!” 
257 - Reconhecer a organização de Jeová e ser grato por ela motiva seu povo. À medida que a organização avança, procuramos acompanhar o seu passo. Nós nos esforçamos em demonstrar confiança na organização de Jeová hoje.  O capítulo 1 da profecia de Ezequiel apresenta Jeová fazendo o que? 	257- Dirigindo um grandioso carro celestial.
