1- O que se refere a palavra pentateuco?	1- it-3 p. 223 / Pentateuco: refere-se aos primeiros cinco livros da Bíblia: Gênesis, Êxodo, Levítico, Números e Deuteronômio.	Você apoiou a designação de limpeza do Salão do Reino. PARABÊNS, AVANCE 02 CASAS !!!
124 - Segundo informou um anjo, qual era o nome da parenta da virgem Maria, que também teria um filho?	124 -  Lucas 26: 36 – Elisabete	
125- Como se chama o pai de João Batista? Dica, ele ficou mudo sob ordem de Jeová.	125 – Lucas 26: 39, 40 Zacarias	
126- Antes do nascimento de Cristo, o relato bíblico informa que José viajou com sua esposa para sua cidade Natal na Judeia (à cidade de Davi que se chama Belém). Mas, de onde eles partiram? 	126 – Lucas 2: 4 – Nazaré	
127 - Quando Jesus nasceu, não havia alojamento disponíveis, por isso ele nasceu num local muito simples. Mas, onde ele foi deitado por sua mãe assim que nasceu? 	127 – Lucas 2: 7 – Manjedoura	
128- Você se lembra, qual foi sinal que deveria ser observado pelos pastores para que estes identificassem o bebê Jesus?	128 – Lucas 2:12 bebê enrolado em panos e deitado numa manjedoura. 	
129- Por volta de que horas do dia, Jesus Cristo deu testemunho informal para a mulher Samaritana? 10hs  12hs  15hs  18hs 20hs 	129 - João 4:6 veja a nota 12hs	
130- Antes de uma pessoa se batizar, se espera que ela faça um gesto muito pessoal entre ela e Jeová Deus. O que é?	130 – W Edição de Estudo 03/18 página 4, Quadro – Oração de dedicação à Jeová.	
131- O apóstolo Pedro comparou o batismo a um objeto. Que objeto é este? (A) Estaca (B) Vestes Brancas (C) Arca (D) Espada (E) Manto Imaculado	131- 1ª Pedro 3:20, 21 ou W Edição de Estudo 03/18 página 4 parágrafo 3 – Arca	
132- Escolha a opção correta. De acordo com o relato de Atos 8: 35, 36 Filipe teve a oportunidade de receber uma orientação angélica, para declarar a as boas novas a respeito de Cristo a um homem etíope. Este Filipe era um dos apóstolos? (   ) Sim    (   ) Não  	132 – Atos 6: 1-6. Não	
133 - Charada: (1) Este homem aceitou humildemente a ajuda celestial de Jesus. (2) Jesus proveu ajuda, por intermedio de outro cristão. (3) Este ficou com medo. Qual o nome deste cristão? 	133 – Atos 9: 17,18 – Ananias	
134 - Qual seria a idade considerada "ideal" para que uma pessoa se batizasse? (A) Bebê (B) Adolescente (C) Jovem (D) Na melhor idade, 60 anos (E) NDA 	134 – W Edição de Estudo 03/18 página 07, parágrafo 15 - NDA “Não existe nenhuma idade considerada “certa” para a pessoa de batizar.	
135 - O relato de Atos 9:15 diz: "Mas o senhor lhe disse: "Vá, porque este homem é para mim um vaso escolhido para levar o meu nome as nações, bem como a reis e aos filhos de israel"". A que homem se aplica este relato?	135 – W Edição de Estudo 03/18 página 13, parágrafo 04 – Paulo	
136 - Em que local foi construído o templo de Salomão?	136 - W73 1/7 p. 390 par. 6 “Rei Salomão, que construiu o primeiro templo de sua espécie no monte Moriá, de Jerusalém”. – Jerusalém	
137 - Na ocasião do nascimento de Salomão, o profeta Natã disse que ele deveria ser chamado por um outro nome. Que nome é este? (A) Davi Junior (B) Salomão (C) Jedidias (D) Boanerges (E) Amnon	137 -  2ª Samuel 12: 24, 25 – Jedidias	
138 - VERDADEIRO OU FALSO? Davi teve alguns filhos com Bate-Seba, um deles, recebeu o nome "Jesus".	138 – FALSO 1ª Crônicas 3:5 – Simeia, Sobabe, Natã e Salomão.	
139 - VERDADEIRO OU FALSO? Na ocasião da inauguração do templo, Salomão ofereceu sacrifícios de bois e ovelhas. O número total destes foram de 142 mil cabeças	139 – VERDADEIRO 1º Reis 8:63 - Ele ofereceu 22.000 bois e 120.000 ovelhas = 142 mil	
140 -Uma das pessoas visitantes mais distintas procedente duma terra estrangeira para ver a glória e as riquezas de Salomão foi: (A) Cleópatra a rainha do Egito (B) A Rainha de Sabá (C) Herodes Ântipas (D) Maria Madalena (E) NDA	140 – 1º Reis 10:1, 2 - A rainha de Sabá.	
141 - Não confunda a resposta. Por dedução, quantas vezes Salomão se casou? (A) 100 (B) 300 (C) 500 (D) 700 (E) 1.000 	141 – 1º Reis 11:3 - 700 vezes. 	
142 - VERDADEIRO OU FALSO: A renda anual de Salomão em ouro chegava a ser: 666 talentos ou seja, mais de 13,5 toneladas 	142 –  VERDADEIRO 1º Reis 10:14 - Chegava a 666 talentos (20,4 kg)	
143 - Quantas foram as maldições que sobrevieram sobre o servo fiel Jó? 3,4 ,5, 7 NDA	143 – Jó 1:13-19 Jó 2:7 1º Saque de Bois e Jumentas pelos Sabeus, 2º Caiu fogo do céus, consumiu as ovelhas e os servos, 3º Saque dos Camelos pelos Caldeus. 4ºForte Vento Morte dos 10 filhos, 5º Furúnculos Dolorosos em Jó	
144 - Qual foi a 1ª das 10 pragas de Jeová sobre do Egito.	144 - Êxodo 7:20 - Toda a água do rio Nilo se transformou em sangue. 	
145 - Mencione os dois maiores mandamentos.	145- Mt 22:36-39 – 1º“‘Ame a Jeová, seu Deus, de todo o seu coração, de toda a sua alma e de toda a sua mente.’ 2º ‘Ame o seu próximo como a si mesmo.	
146- Quem escreveu o livro de Jó?	146 – Moises 	
147 - Segundo consta, o que disseram os três consoladores de Jó que foram visitá-lo, ficando o período de 7 dias e 7 noites, (A)  O Elogiaram pela fé em Deus (B) Lamentaram pelas desgraças acontecidas (C) Cantaram cânticos (D) Ninguém lhe disse uma palavra (E) Acusaram-no de ter pecado contra Deus	147 - Jó 2:13 - Ninguém lhe disse uma palavra.	
148 - Na cronologia bíblica, qual foi o último evangelho a ser escrito?	148 – w08 15/4 p. 30 - JOÃO 	
149 - Quem expressou as seguintes palavras : "Eis o Cordeiro de Deus, que tira o pecado do mundo!"?	149 - João 1:29 – João Batista	
150 - Segundo Cristo, Quem são os que 'passam da morte para a vida'? (A) Ungidos (B) Anjos (C) Apóstolos (D) Descrentes que se convertem (E) Ressucitados	150 - w08 15/4 p. 30 - Descrentes que se convertem - Jesus se refere àqueles que estão mortos espiritualmente, mas que, ao ouvirem suas palavras, depositam fé nele e abandonam seu proceder pecaminoso. 	
151- Sabemos que antes de nascerem João Batista e Jesus, o anjo Gabriel os anunciou préviamente. Para quem foram dados ambos anúncios de maneira individual? 	151 – Lucas 1:13 e Lucas 1: 30 - Zacarias e Maria	
152 - Quando Maria foi informada de que teria um filho, sua parenta mais velha já estava grávida. De quantos meses? (A) 1 (B) 3 (C) 6 	152 -  Lucas 1:36 – 6 meses	
153 - Segundo a Lei de Deus a Israel, todo menino israelita precisa ser circuncidado. Após o seu nascimento, em quanto tempo isso se faz necessário? (A) 7ºdia (B) 7º mês (C) 8º dia (D) 8º mês (E) Após desmamá-lo.	153 – Levítico 12: 3 – 8º dia	
154 - Segundo a Lei de Deus a Israel, o que deve acontecer com a noiva que comente fornicação? (A) Ela será desassociada (B) Ela perde seus privilégios na Sinagoga (C) Ela perde o noivo (D)Ela deve ser apedrejada até a morte (E) NDA	154- Deuteronômio 22:23, 24 - Apedrejada até a morte	
155 - José tinha decidido em fazer algo em secreto com Maria (mãe de Jesus). Oque ele pensou em fazer? (A) Se Casar para justificar o bebê (B) Ter relações sexuais para justificar o bebê (C) Expulsá-la de casa (D) Se Divorciar (E) NDA	155 – Mateus 1: 19 – Se divorciar	
156 -  Hoje muitos acreditam que Jesus nasceu em 25 de dezembro. Mas, conforme o relato bíblico, tudo indica que Jesus nasceu em que mês? Justifique sua resposta. (A) Tinsri (B) Nisã (C) Agosto (D) Outubro (E) Novembro.	156 – Livro Jesus O caminho pagina 18 – Outubro	
157 - A Lei de Deus a Israel diz que após o nascimento de um menino, a mãe deve apresentar no templo uma oferta de purificação. Com quantos dias após o nascimento do menino se deve fazer esta oferta? (A) 7 dias (B) 8 dias (C) 10 dias (D) 40 dias (E) 66 dias.	157 – Levítico 12:4 – 40 dias	
158 - Segundo a Lei de Deus dado a Israel, após o nascimento de uma criança (quando se completarem os dias de purificação), deverá levar ao sacerdote uma oferta. Primariamente, qual tipo de oferta se exige na lei? (A) Uma ovelha e 2 rolas (B) 5 andorinhas (C) Um carneirinho e um pombo (D) Um novilho e duas codornas (E) Um efa de farinha fina	158- Levítico 12: 6 – Um carneirinho e um pombo 	
159 - Segundo a Lei de Deus dada a Israel, após o nascimento de uma criança (quando se completarem os dias de purificação), deverá levar ao sacerdote uma oferta definida conforme instruções. Mas, se a pessoa não tiver recursos financeiros, existe uma exceção mais barata, quais são? (A) Duas rolas ou dois pombos (B) Uma dúzia de ovos (C) 5 codornas (D) Um novilho (E) Uma ovelha.	159 – Levítico 12: 8 – Duas rolas ou dois pombos.	
160- Quando uma israelita dava à luz um filho, eles eram considerados cerimonialmente impuros por um tempo. Assim que terminava esse período, uma oferta queimada era oferecida como sacrifício de purificação. Desse modo, todos eram lembrados de que o pecado e a imperfeição haviam sido transmitidos. Essa oferta de purificação foi feita na ocasião do nascimento de Jesus? (A) Sim (B) Não	160 – SIM, VEJA Livro Jesus O caminho pagina, pagina 21 / Quadro Lucas 2: 22 – O bebê Jesus era perfeito e Santo. Mesmo assim, Maria e José “o levaram” ao templo “para purificação deles”, conforme a Lei exigia. 	
161 - José e Maria vão fazer a oferta de purificação e apresentar Jesus perante Jeová no templo. Nesta ocasião, eles encontram duas pessoas que agradecem a Deus pelo nascimento de Jesus. Esses acontecimentos dão a José e Maria a certeza de que seu filho é o Prometido por Deus. Uma dessas pessoas é Ana, a profetisa de 84 anos; E a outra pessoa, qual é o seu nome? (A) Zacarias (B) Simeão (C) Samuel (D) Abraão (E) Zeúde	161 – Lucas 2:25 – Simeão	
162 - Qual o nome do avô paterno de Jesus? (A) João (B) Adulão (C) Isaque (D) Jacó (E) José	162 – Mateus 1: 6 – Jacó	
163 - Quantos dias após a sua ressurreição, Jesus sobe aos céus?	163 – TNM /15 Pagina 1826 – 40 dias	
164- Em que local Jesus estava quando subiu aos céus? (1) Monte das Oliveiras (2) Templo (3) Jardim Getsêmani (4) Deserto da Judéia (5) Golgota	164 – TNM/15 Página 1826 – Monte das Oliveiras	
165 - Qual dos 4 evangelhos conta em detalhes o pré-nascimento e nascimento de Jesus?	165 - TNM/15 Página 1812 -1813 Lucas	
166 - Em que horas do dia Jesus morreu? (A) 13H (B) 14H (C) 17H (D) 18H (E) NDA 	166 - Marcos 15:34- 37 – NDA na verdade às 15Horas	
167 - Quando os astrólogos saíram do oriente, foram guiados pela estrela até que cidade? 	167 – Mateus 2: 1, 2  - Jerusalém 	
168 - Leia Jeremias 31:15 e responda. Em que ocasião essa profecia se cumpriu? (A) Queda de Babilônia (B) Matança de meninos em Belém (C) Destruição de Jerusalém em 70 EC 	168- Livro Jesus O caminho pagina 25 , 3º parágrafo. Matança de meninos em Belém e região	
169 - Herodes quer matar o menino Jesus, mas o anjo orienta José a fugir, para onde eles foram? (A) Babilônia (B) Roma (C) Egito (D) Israel (E) Jerusalém	169- Mateus 2:13 – Egito	
170 - Quem foi Arquelau? (A) Um profeta de Jeová (B) Sacerdote de Baal (C) Um Rei (D) Um escravo egípcio (E) NDA	170 – Mateus 2:22 – Um Rei	
171- Em que cidade na região da Galileia, Jesus foi criado? (A) Jerusalém (B) Belém (C) Nazaré (D) Cafarnaum (E) Judéia	171 – Mateus 2: 23 – Nazaré	
172 - Quem foi Salomé? (A) Meia irmã de Jesus (B) Uma Rainha nos tempos de Cristo (C) Esposa do Rei Herodes (D) Irmã de Maria (mãe de Jesus) (E) Apenas uma discípula de Cristo 	172 - Livro Jesus O caminho pagina 27 parágrafo 3 – irmã de Maria (mãe de Jesus).	
173 - Qual a profissão de Jesus?	173 –Mateus 6:3 – Carpinteiro	
174 - Quando Jesus tinha 12 anos, seus pais percebem a sua ausência e passam a procura-lo, encontrando-o mais tarde no templo. Quanto tempo eles o encontraram? (A) Algumas horas depois (B) Muitas horas mais tarde (C) No dia seguinte (D) Depois de 3 dias (E) Na semana seguinte	174 – Lucas 2:46 – 3 dias depois.	
175 - Com quantos anos Jesus foi batizado por João Batista? (A) com 8 dias de vida (B) 29 anos (C) 30 anos (D) 33 anos (E) NDA	175 - Livro Jesus O caminho pagina 35 parágrafo 1 – 30 anos	
176- John Wycliffe, William Tyndale, Henry Grew e George Storrs foram: (A) Membros do Corpo Governante (B) Irmãos executados na 2ª Guerra Mundial (C) Formandos da 135ª Turma de Gileade (D) Defensores das Verdades Bíblicas antes da Organização ser formada (E) NDA	176 - w12 15/1 p. 8 par. 17 Outros defensores das verdades bíblicas antes da organização ser formada.	
177 - Nos tempos modernos, ele finalmente entendeu que haveria necessidade de uma campanha global de pregação a fim de alcançá-las. Mas ele não tinha a mínima ideia de como isso seria feito, mas demonstrando sua fé, escreveu: "Muitos, quando não conseguem entender exatamente como uma coisa será feita, a rejeitam, como se fosse impossível para Deus fazê-la porque não entendem como ele a fará." Quem foi ele? (A) Charles Russel (B) Henry Grew (C) George Storrs (D) Profeta Isaías (E) Stephen Lett	177- w00 15/10 p. 29 - Storrs finalmente entendeu que haveria necessidade de uma campanha global de pregação a fim de alcançá-las. 	
178 - C. T. Russel era descendente de qual nacionalidade? (A) Americana (B) Inglesa (C) Irlandesa (D) Escocesa (E) Brasileira	178 – Vídeo: Fé em Ação (Da escuridão a Luz) 12’:07’’ – Irlandesa	
179 - Antes da adolescência, C. T. Russel se tornou sócio de seu pai, em que segmento? (A) Lojas de Roupas (B) Gráfica (C) Hotéis (D) Fábrica de Canetas (E) NDA	179 - Vídeo: Fé em Ação (Da escuridão a Luz) 15’:21’’ _ Lojas de roupas	
180 - C.T. Russel passou a ser o editor e a publicar a revista Watch Tower. Em que ano isso aconteceu? (A) 1870 (B) 1879 (C) 1880 (D) 1889 (E) 1914	180 - w00 15/10 p. 30 Charles Taze Russell, que deu início à publicação desta revista em 1879	
181- Em 1912, Russell e seus associados iniciaram um ousado empreendimento educacional muito avançado para a época e que alcançaria milhões de pessoas no mundo inteiro. Que empreendimento foi esse? (A) A Resvista A Sentinela (B) Rádio WBBR (C) Site JW.ORG (D) Fotodrama (E) Construções de Gráficas	181 - *** jv cap. 5 pp. 59-60 Fotodrama da Criação — uma combinação de filme cinematográfico e slides, sincronizada com gravações musicais e discursos gravados em fonógrafos.	
182 - Que anúncio histórico e marcante foi dado na manhã de sexta-feira, 2 de outubro de 1914? Justifique (A) Armagedom está chegando (B) Começou a GT (C)Tempos dos Gentios Terminaram (D) Isenção de Impostos para  Associação (E) O CG sairam da prisão	182 - kr p. 2 Carta do Corpo Governante “Os Tempos dos Gentios terminaram; seus reis já tiveram seus dias!” 	
183 - Em que ano a Sociedade de Tratados da Torre de Vigia de Sião foi legalmente estatuída, com C. T. Russell como presidente? (A) 1870 (B) 1879 (C) 1880 (D) 1884 (E) 1889	183 - jv cap. 26 p. 576 - Em1884 	
184 - Em que ano foi dado o anuncio de que se publicaria uma nova revista, The Golden Age (A Idade de Ouro, agora Despertai!)? (A) 1889 (B) 1895 (C) 1914 (D) 1918 (E) 1919	184 - jv cap. 26 p. 577 - 1919	
185 - Em que ano se findou os "Tempos dos Gentios"?	185 - *** jv cap. 28 p. 637 - 1914, aquele ano deveras marcou o fim dos Tempos dos Gentios.	
186 - Quem expressou as seguintes palavras: "Senhor, para quem havemos de ir? Tu tens declarações de vida eterna; e nós cremos e viemos a saber que tu és o Santo de Deus?"	186 – João 6: 68 – Simão Pedro, ou Pedro	
187 - Em 1876 Russell fornecera recursos para reativar a impressão de uma revista, tendo a Barbour como editor e Russell como editor-assistente. Que revista foi essa? (A) Watch Tower (Torre de Vigia) (B) The Golden Age (A idade de Ouro)  (C) Herald of the Morning (Arauto da Aurora) (D) Do Paraíso Perdido ao Paraíso Recuperado 	187 - jv cap. 28 p. 619 a revista Herald of the Morning (Arauto da Aurora).	
188 - Quais foram as 3 tentações de Cristo feito por Satanás?	188 – Mateus 4:1-10 (1) Transformar pedras em pães, (2) pular da muralha do templo, (3) fazer um ato de adoração ao Diabo.	
189 - O 1º milagre de Jesus foi transformar água em vinho, em qual cidade ele estava quando realizou este milagre? (A) Jerusalém (B) Belém (C) Caná (D) Cafarnaum (E) Egito	189 – João 2:9-11 – Caná	
190 - De acordo com o que foi registrado na Bíblia, quantos milagres aproximadamente Jesus Cristo fez? (A) 10 (B) 35 (C) 70 (D) 77 (E) 144	190- W15/07/2004 página 4 parágrafo 5 – 35 milagres	
191 - Após ser batizado, Jesus passa algum tempo no deserto. Enquanto esteve por lá, não comeu nem bebeu nada. Por quanto tempo ele esteve em jejum?	191 - jy cap. 13 p. 36 par. 2 (Mateus 4:1, 2) 40 dias e 40 noites	
192 - A Lei dada aos israelitas por meio de Moisés tinha qual propósito? (A) Proteção contra pecados (B) Conduzir a uma vida Organizada (C) Manter a fé em Jeová forte (D) Como tutor, conduzindo a Cristo (E) Proteger a descendência do Messias.	192 – Gálatas 3:23, 24 Tutor conduzindo a Cristo.	
193 - Qual foi o homem que queria aprender mais sobre Jesus, porém o visitou à noite? (A) Nicolau (B) Zaqueu (C) José de Arimatéia (D) Nicodemos (E) General Céstio Galo 	193 – João 3: 1, 2 Nicodemos	
194 - VERDADEIRO OU FALSO. A única passagem bíblica onde podemos encontrar escrito a palavra Armagedom é no Livro de Apocalipse capítulo 16:16.	194 –  VERDADEIRO - Apocalipse 16:16 	
195 - O Diabo disse que estava disposto até mesmo a dar uma coisa a Jesus em troca de um ato de adoração. Que coisa era essa?	195 - *** jy cap. 13 p. 36 par. 6 todos os reinos do mundo	
196-  Não se confunda ao responder. A mulher com quem Jesus falou junto ao poço de Jacó, era natural de que cidade?	196 – João 4: 6, 7 – Samaria	
197 - VERDADEIRO OU FALSO. A bíblia registra apenas dois milagres de Jesus em Caná.	197 – VERDADEIRO - João 2:9 Um deles foi transformar água em vinho e o outro, ele curou o filho de um funcionário do rei Herodes, à distância. João 4:46-54	
198- A Bíblia possui um total de 66 livros. Quantos livros compõe as escrituras hebraicas? (A)29 (B) 33 (C) 39 (D) 42 (E) 49	198 – 39 Livros	
199 - Os massoretas dividiram as Escrituras Hebraicas em versículos; daí no século 13 EC acrescentaram-se as divisões em capítulos. Por fim, em qual ano a edição da Bíblia em Frances de Robert Estienne foi publicada como a 1ª Biblia completa com as atuais divisões de capítulos e versículos? (A) 1353 (B) 1553 (C) 1653 (D) 1753 (E) 1853	199 – Perspicaz vol.1 página 359 – 1553EC	
200- Entre o fim das escrituras Hebraicas até o início das escrituras Gregas, houve um intervalo de tempo nas escritas. De quanto foi esse intervalo? (A) Quase 200 anos (B) Quase 400 anos (C) Quase 500 anos (D) Quase 700 anos (E) Quase 1.000 anos	200- Perspicaz vol.1 página 360 – Quase 500 anos	
201 - Quem escreveu os livros de 1º e 2º Crônicas? (A) Moisés (B) Jó (C) Samuel (D) Esdras (E) Neemias	201 – Esdras	
202 - Quem escreveu Atos dos Apóstolos?	202 – Lucas	
203 -  Sabemos que alguns apóstolos trabalhavam como pescadores. Qual era a profissão do discípulo Lucas?	203 – Perspicaz vol.2 página 721 – Médico	
204 - Nos tempos de Cristo, qual era a profissão de Levi?	204 – Mateus 10:3 e Marcos 2:14 – Cobrador de Impostos	
205 - Charada: Sou primo de Barnabé. A casa da minha mãe era um local de adoração da primitiva congregação cristã. Fui inspirado a escrever um livro da Bíblia? Sou pivô de uma briga entre amigos. Quem sou?	205 – Perspicaz vol.2 página 767 – Marcos	
206 - Qual o país que se tornou a 1ª potência mundial?	206 – W 15/06/2012 página 9 parágrafo 7 – Egito	
207 - Pense bem antes de responder. Que países compõem a potência anglo-americana?	207 – EUA e Grã-Bretanha. (OBS: Grã-Bretanha é uma das muitas ilhas Britânicas da Europa que abrange a maior parte do Reino Unido. Nesta ilha estão 3 das quatro nações britânicas: Escócia, Inglaterra e Pais de Gales).	
208 - Complete o texto com a palavra correta: "Escutem a disciplina e tornem-se_________________." Obedientes, Mansos, Fiéis, Sábios, Integros	208 – Provérbios 8:33 – sábios.	
209 - A Bíblia diz: "Se falta sabedoria em alguém que peça a Deus - pois ele dá a todos generosamente ... (a) sem negar (b) a quem pedir (c) sem censurar (d) sem medir esforços.	209 – Tiago 1:5 – sem censurar.	
210 - Quem sou eu? Me tornei rei de Judá aos 25 anos. Fiz o que era direito aos olhos de Jeová. Triturei a serpente de cobre feita por Moisés. Derrotei filisteus. Quem sou eu?	210 – Rei Ezequias – 2ª Reis 18:1-4, 8.	
211 - VERDADEIRO OU FALSO . Se vocês se renderem, terei misericória de vós, e faremos um pacto para conquistar outros reinos. Esse foi argumento que Rabsaqué usou para tentar fazer com que Ezequias se rendesse?	211 – FALSO. O argumento certo foi: Nenhum deus conseguiu defender sua nação, será que Jeová conseguirá? – 2ª Reis 18:33-35.	
212 - Responda completamente as seguintes perguntas: Ninrode o construtor da torre de babel era parente de qual servo fiel de Jeová? E qual o grau de parentesco ele era?	212 – Genesis 10: 6-8 – Ninrode era bisneto de Noé, servo fiel de Jeová	
213 - Na ocasião da construção da torre de Babel, Jeová não se agradou desta construção. O que ele fez para impedi-la? 	213 – Genesis 11:6-8 – Confundiu o idioma deles, deste modo os espalhou ou fez com que falassem outros idiomas.	
214 - Segundo "Meu Livro de Histórias Bíblicas", o que quer dizer a palavra Babel ou Babilônia?	214 – MLHB página 12 – Babilônia significa “confusão”.	
215 - Após Jeová sentir o aroma do sacrifício de Noé que saíra da arca após o dilúvio. Jeová fez algumas promessas, dentre essas, podemos afirmar que ele...(A) Nunca mais destruirá todos homens através de água (B) Nunca mais destruirá todos os seres vivos (C) Nunca mais destruirá toda a vegetação do solo (D) NDA.	215 – Genesis 8:21 e 9:11 - Nunca mais destruiria todo os seres vivos.	
216 - Um dos lugares onde as pessoas moravam após o dilúvio se chamava Ur. Qual é o personagem bíblico (que se tornou um patriarca famoso) na linhagem de Cristo que morou nesta cidade? 	216 – MLHB página 13 – Abraão	
217 - Após sairem de Ur, em qual cidade Tera e seus familiares foram morar? (A) Canaã (B) Harã (C) Terra Prometida (D) Jerusalém (E) Belém Efrata	217 – Genesis 11:31,32 - Harã	
218 -  Medite antes de responder. Quando Abraão tinha exatamente 99 anos, algo importante aconteceu em sua vida. O que foi?	218 – Genesis 17: 1-4 –  Em poucas palavras, “ele recebeu a promessa” de Jeová de que se tornará pai ou "se tornará pai de nações".	
219 - Após Abraão não negar seu único filho à Deus, Jeová poupou deste sacrifício fornecendo que um animal fosse sacrificado no lugar do menino. Que animal foi este? (A) Cordeiro (B) Carneiro (C) Cabritinho (D) Ovelha (E) Novilho	219 – Genesis 22:12,13 – Carneiro 	
220 - Ao ver os dois anjos no portão da cidade de Sodoma, Ló ofereceu que eles se hospedassem em sua casa. Mas, eles recusaram dizendo que iriam passar a noite noutro lugar. Que lugar era esse? (A) A casa de Abraão (B)hospedaria da cidade (C) Nas tendas de Jericó (D) Na praça (E) NDA	220 – Gênesis 19:2 – Na praça 	
221 - O sonho de todos os pais é que seus filhos encontrem cônjuges leais a Jeová. Não foi diferente no caso de Abraão. Qual o nome de filho e sua nora? 	221 – Genesis 24: 67 – Isaque e Rebeca	
222 - Se você leu o apêndice da Bíblia, saberá responder essa pergunta. O que é o Códice de Leningrado?	222- TNM 2015 pagina 1790- é um manuscrito Massorético (cópia da bíblia ou fragmento bíblico).	
223 - Com a finalidade de preservar os escritos sagrados, uma antiga tradição estabelecida por Deus, que exigia que o texto fosse copiado. A quem Jeová instruiu a fazer a sua própria cópia da Lei? 	223 – Deuteronômio 17:18 – Os reis de Israel	
224 - Com a finalidade de que os escritos fossem preservados até a nossa época. A qual tribo Deus deu a responsabilidade de preservar a Lei e ensiná-la ao povo?	224 – Deuteronômio 31:26 e Neemias 8:7 – A tribo de Levi (Os levitas).	
225 - Quem sou? Vivi em Babilônia durante o governo de Assuero, no tempo de Mordecai e Ester, na época em que saiu o decreto de exterminar os judeus em todo o Império Persa. Sou descendente de Eleazar e de Finéias, sou erudito, também copista destro além de instrutor da Lei, sou versado tanto no hebraico como no aramaico. Procurava preparar meu coração para consultar a Lei de Jeová e para praticá-la, e para ensinar seus decretos e decisões judiciais em Israel. Quem sou eu?	225 – Esdras 7:10 Perspicaz Vol.2 Pagina 13 – Esdras	
226- VERDADEIRO OU FALSO? Um dos motivos de os manuscritos originais precisarem ser copiados era o fato de serem escritos em materiais perecíveis.	226 – TNM 2015 página 1794 – VERDADEIRO: Um dos motivos de os manuscritos originais precisarem ser copiados era o fato de serem escritos em materiais perecíveis. [E por terem vários copistas, também garantia que o conteúdo bíblico não fosse alterado].	
227 - VERDADEIRO OU FALSO? Embora os escritores inspirados se refiram a Deus usando muitos títulos e termos descritivos, como "Todo-Poderoso", "Altíssimo" e "Senhor", o Tetragrama é o único nome pessoal usado por eles para identificar a Deus.	227 – TNM 2015 AP A4 página 1795 -  VERDADEIRO: Embora os escritores inspirados se refiram a Deus usando muitos títulos e termos descritivos, como “Todo-Poderoso”, “Altíssimo” e “Senhor”, o Tetragrama é o único nome pessoal usado por eles para identificar a Deus.	
228 - VERADEIRO OU FALSO? Só nos Salmos - um livro de escritos poéticos que eram cantados e recitados pelo povo de Deus, o nome divino ocorre MAIS de 1.500 vezes. 	228 – TNM 2015 AP 4 página 1795 – FALSO: Só nos Salmos — um livro de escritos poéticos que eram cantados e recitados pelo povo de Deus —, o nome divino ocorre cerca de 700 vezes. 	
229 - Verdadeiro ou Falso? Os discípulos de Jesus no primeiro século pronunciavam o nome dele de uma forma bem diferente do modo como a maioria dos cristãos o pronuncia hoje. Entre os cristãos judeus, o nome de Jesus era pronunciado Yesús. E o título Cristo era pronunciado Messiakhá, isto é, "Messias"	229 – TNM 2015 AP página 1795 – Falso:. Entre os cristãos judeus, o nome de Jesus provavelmente era pronunciado Yeshúa‛, e o título “Cristo” era pronunciado Mashíahh, isto é, “Messias”	
230- Verdadeiro ou Falso? - De acordo com relatos bíblicos, houve um rei que reinou por apenas 1 mês.	230 - it-3 p. 510 Salum 2ª Reis 15:8, 10-15.- Verdadeiro 	
231 - O que a idosa Ana do primeiro século, Hulda e Miriã irmã de Moises eram em comum? (A) Eram cristãs ungidas (B) Eram israelitas (C) Eram profetisas (D) Eram descendentes de Davi (E) NDA	231 - it-3 p. 339 Profetisas 	
232 - Quem sou eu? Tenho nome de princesa, aliás fui elogiada por príncipes. Sou figura de um drama simbólico onde representei a "Jerusalém de Cima".  Já sofri desprezo, e por isso também humilhei.  Quem sou eu?	232 - it-3 p. 537 Genesis 12:15 – Sara	
233 - Complete o texto bíblico "Saiba hoje e ponha no coração que Jeová é o verdadeiro Deus nos céus em cima, e ........................ Não há outro."	233 - Deut4:39  ...na terra embaixo.	
234- Quais são algumas das quatro qualidades notáveis de Jeová?	234 – 1º João 4:8 Amor, Deuteronômio 32:4, Justiça Romanos 11:33, Sabedoria e Jeremias 32:17 Poder.	
235 - Que termos ou títulos a Bíblia usa para nos ajudar a entender alguns aspectos da autoridade de Jeová?	235 - Isa. 33:22  “Jeová é o Juiz,  Legislador, Rei 	
236 - O que significa dar a Jeová devoção exclusiva? São 4 pontos principais, de todo o seu coração, toada a sua alma, toda a sua força e......	236 - Mar. 12:30. “Amar a Jeová, de todo o seu coração (1), de toda a sua alma   (2), de toda a sua mente (3) e de toda a sua força(4).”	
237 - Por que precisamos do resgate? 	237 - Por meio dele temos o livramento por resgate, por meio do sangue dele, sim, o perdão das nossas falhas.” (E ganharemos a vida eterna)	
238 - O que é o espírito santo?	238 - Gên. 1:2  A força ativa de Deus	
239 - Quais são as características do fruto do espirito Santo?	239- Gál. 5:22, 23.  “O amor, alegria, paz, paciência, bondade, benignidade, fé, brandura, autodomínio.” 	
240 - Responda curto e objetivamente, o que é o Reino de Deus? Cite um texto bíblico que contenha essa palavra, "reino".	240- Dan. 2:44  Um Governo  	
